Nom Centreon,CRITCAL,CRITICAL,CRITICAL1,CRITICAL15,CRITICAL5,DISK,WARNING,WARNING1,WARNING15,WARNING5
EENVD-EWM01,,150,,,,,95,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,free<=100M,,,,C:,free<=999M,,,
EENVD-EWM01,,none,,,,D:,free<= 10%,,,
EENVD-EWM01,,none,,,,I:,free<=10%,,,
EENVD-EWM01,,none,,,,K:,free<=10%,,,
EENVD-EWM01,,none,,,,T:,free<=10%,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
cieyy1mz,,150,,,,,95,,,
cieyy1mz,,,,,,,,,,
cieyy1mz,,99,,,,/,85,,,
cieyy1mz,,99,,,,/appli,85,,,
cieyy1mz,,99,,,,/boot,95,,,
cieyy1mz,,99,,,,/home,85,,,
cieyy1mz,,99,,,,/tmp,95,,,
cieyy1mz,,90,,,,/var,85,,,
cieyy1mz,,99,,,,/var/lib/mysql,85,,,
cieyy1mz,,99,,,,/var/log/audit,85,,,
cieyy1mz,,99,,,,,95,,,
cieyy1mz,,,,,,,,,,
cieyy1mz,,,,,,,,,,
cieyy1mz,,,,,,,,,,
cieyy1mz,,,,,,,,,,
cieyy1mz,,1:,,,,,1:,,,
cieyy1mz,,1:,,,,,1:,,,
cieyy1mz,,1:,,,,,1:,,,
cieyy1mz,,1:,,,,,1:,,,
cieyy1mz,,1:,,,,,1:,,,
cieyy1mz,,150,,,,,80,,,
cieyy1mz,,,,,,,,,,
cieyy1nf,,,99,30,30,,,99,30,30
cieyy1nf,,150,,,,,95,,,
cieyy1nf,,,,,,,,,,
cieyy1nf,,99,,,,/,85,,,
cieyy1nf,,99,,,,/boot,95,,,
cieyy1nf,,99,,,,/exploit,85,,,
cieyy1nf,,99,,,,/home,85,,,
cieyy1nf,,99,,,,/opt/rh/httpd24/root/var/www/html/applis,85,,,
cieyy1nf,,99,,,,/tmp,95,,,
cieyy1nf,,90,,,,/var,85,,,
cieyy1nf,,99,,,,/var/lib/mysql,85,,,
cieyy1nf,,99,,,,/var/log/audit,85,,,
cieyy1nf,,99,,,,,95,,,
cieyy1nf,,,,,,,,,,
cieyy1nf,,,,,,,,,,
cieyy1nf,,,,,,,,,,
cieyy1nf,,,,,,,,,,
cieyy1nf,,1:,,,,,1:,,,
cieyy1nf,,1:,,,,,1:,,,
cieyy1nf,,1:,,,,,1:,,,
cieyy1nf,,1:,,,,,1:,,,
cieyy1nf,,1:,,,,,1:,,,
cieyy1nf,,150,,,,,80,,,
cieyy1nf,,,,,,,,,,
cieyy1pd,,,99,30,30,,,99,30,30
cieyy1pd,,150,,,,,95,,,
cieyy1pd,,,,,,,,,,
cieyy1pd,,99,,,,/,85,,,
cieyy1pd,,99,,,,/appli/projects,95,,,
cieyy1pd,,99,,,,/boot,95,,,
cieyy1pd,,99,,,,/exploit,95,,,
cieyy1pd,,99,,,,/home,95,,,
cieyy1pd,,99,,,,/tmp,95,,,
cieyy1pd,,90,,,,/var,85,,,
cieyy1pd,,99,,,,/var/log/audit,95,,,
cieyy1pd,,99,,,,,95,,,
cieyy1pd,,,,,,,,,,
cieyy1pd,,,,,,,,,,
cieyy1pd,,,,,,,,,,
cieyy1pd,,,,,,,,,,
cieyy1pd,,1:,,,,,1:,,,
cieyy1pd,,1:,,,,,1:,,,
cieyy1pd,,1:,,,,,1:,,,
cieyy1pd,,1:,,,,,1:,,,
cieyy1pd,,1:,,,,,1:,,,
cieyy1pd,,95,,,,/exploit/SFTP/ONE/reportage,85,,,
cieyy1pd,,150,,,,,80,,,
cieyy1pd,,,,,,,,,,
cieyy1pt,,,99,30,30,,,99,30,30
cieyy1pt,,150,,,,,95,,,
cieyy1pt,,,,,,,,,,
cieyy1pt,,99,,,,/,85,,,
cieyy1pt,,99,,,,/boot,95,,,
cieyy1pt,,99,,,,/home,95,,,
cieyy1pt,,,,,,,,,,
cieyy1pt,,99,,,,/tmp,95,,,
cieyy1pt,,90,,,,/var,85,,,
cieyy1pt,,,,,,,,,,
cieyy1pt,,99,,,,/var/log/audit,95,,,
cieyy1pt,,99,,,,,95,,,
cieyy1pt,,,,,,,,,,
cieyy1pt,,,,,,,,,,
cieyy1pt,,,,,,,,,,
cieyy1pt,,,,,,,,,,
cieyy1pt,,1:,,,,,1:,,,
cieyy1pt,,1:,,,,,1:,,,
cieyy1pt,,1:,,,,,1:,,,
cieyy1pt,,1:,,,,,1:,,,
cieyy1pt,,1:,,,,,1:,,,
cieyy1pt,,150,,,,,80,,,
cieyy1pt,,,,,,,,,,
cieyy1pv,,,99,30,30,,,99,30,30
cieyy1pv,,150,,,,,95,,,
cieyy1pv,,,,,,,,,,
cieyy1pv,,99,,,,/,85,,,
cieyy1pv,,99,,,,/appli/ice,90,,,
cieyy1pv,,99,,,,/appli/postgres,90,,,
cieyy1pv,,99,,,,/appli/projects/ice,90,,,
cieyy1pv,,99,,,,/boot,95,,,
cieyy1pv,,99,,,,/home,90,,,
cieyy1pv,,99,,,,/home/data/ice,90,,,
cieyy1pv,,99,,,,/home/ftpmco,90,,,
cieyy1pv,,99,,,,/log/ice,90,,,
cieyy1pv,,99,,,,/logiciels,95,,,
cieyy1pv,,99,,,,/logiciels/dynatrace,95,,,
cieyy1pv,,99,,,,/logiciels/jboss/jboss_eap-6.4,95,,,
cieyy1pv,,99,,,,/sauveappli,95,,,
cieyy1pv,,99,,,,/tmp,90,,,
cieyy1pv,,99,,,,/tmp/ice,90,,,
cieyy1pv,,99,,,,/var,90,,,
cieyy1pv,,99,,,,/var/barman,90,,,
cieyy1pv,,99,,,,/var/log/audit,95,,,
cieyy1pv,,99,,,,/var/pgbackrest,95,,,
cieyy1pv,,99,,,,/var/postgres,90,,,
cieyy1pv,,99,,,,/var/projects/ice,90,,,
cieyy1pv,,99,,,,,95,,,
cieyy1pv,,,,,,,,,,
cieyy1pv,,,,,,,,,,
cieyy1pv,,,,,,,,,,
cieyy1pv,,,,,,,,,,
cieyy1pv,,1:,,,,,1:,,,
cieyy1pv,,1:,,,,,:,,,
cieyy1pv,,1:,,,,,1:,,,
cieyy1pv,,1:,,,,,1:,,,
cieyy1pv,,1:,,,,,1:,,,
cieyy1pv,,1:,,,,,1:,,,
cieyy1pv,,150,,,,,80,,,
cieyy1pv,,,,,,,,,,
cieyy1pv_db_postgres_iceapp,,5000,,,,,1000,,,
cieyy1pv_db_postgres_iceapp,,total=250waiting=5exclusive=20,,,,,total=200,,,
cieyy1pv_db_postgres_iceapp,,,,,,,,,,
cieyy1pv_db_postgres_iceapp,,,,,,,,,,
cieyy1pv_db_postgres_iceapp,,,,,,,,,,
cieyy1pv_db_postgres_iceapp,,,,,,,,,,
cieyy1pv_db_postgres_iceapp,,,,,,,,,,
cieyy1pv_db_postgres_iceapp,,,,,,,,,,
cieyy1pv_db_postgres_iceapp,,,,,,,,,,
cieyy1pv_db_postgres_iceapp,,,,,,,,,,
cieyy1pv_db_postgres_iceapp,,1:,,,,,:,,,
cieyy1pw,,,99,30,30,,,99,30,30
cieyy1pw,,150,,,,,95,,,
cieyy1pw,,,,,,,,,,
cieyy1pw,,99,,,,/,85,,,
cieyy1pw,99,99,,,,/appli/ice,90,,,
cieyy1pw,99,99,,,,/appli/projects/ice,90,,,
cieyy1pw,,99,,,,/boot,95,,,
cieyy1pw,,99,,,,/home,95,,,
cieyy1pw,99,99,,,,/home/data/ice,90,,,
cieyy1pw,99,99,,,,/home/ftpmco,90,,,
cieyy1pw,99,99,,,,/log/ice,90,,,
cieyy1pw,,99,,,,/logiciels,90,,,
cieyy1pw,99,99,,,,/logiciels/apache,90,,,
cieyy1pw,99,99,,,,/logiciels/php,90,,,
cieyy1pw,,99,,,,/tmp,90,,,
cieyy1pw,99,99,,,,/tmp/ice,90,,,
cieyy1pw,,99,,,,/var,90,,,
cieyy1pw,,99,,,,/var/log/audit,95,,,
cieyy1pw,99,99,,,,/var/projects/ice,90,,,
cieyy1pw,,99,,,,,95,,,
cieyy1pw,,,,,,,,,,
cieyy1pw,,,,,,,,,,
cieyy1pw,,,,,,,,,,
cieyy1pw,,,,,,,,,,
cieyy1pw,,1:,,,,,1:,,,
cieyy1pw,,1:,,,,,1:,,,
cieyy1pw,,1:,,,,,1:,,,
cieyy1pw,,1:,,,,,1:,,,
cieyy1pw,,1:,,,,,1:,,,
cieyy1pw,,1:,,,,,1:,,,
cieyy1pw,,150,,,,,80,,,
cieyy1pw,,,,,,,,,,
cieyy1px,,,99,30,30,,,99,30,30
cieyy1px,,150,,,,,95,,,
cieyy1px,,,,,,,,,,
cieyy1px,,99,,,,/,85,,,
cieyy1px,99,99,,,,/appli/ice,90,,,
cieyy1px,99,99,,,,/appli/projects/ice,90,,,
cieyy1px,,99,,,,/boot,95,,,
cieyy1px,,99,,,,/home,95,,,
cieyy1px,99,99,,,,/home/data/ice,90,,,
cieyy1px,99,99,,,,/home/ftpmco,90,,,
cieyy1px,99,99,,,,/log/ice,90,,,
cieyy1px,,99,,,,/logiciels,95,,,
cieyy1px,,99,,,,/sauveappli,95,,,
cieyy1px,,99,,,,/tmp,95,,,
cieyy1px,99,99,,,,/tmp/ice,90,,,
cieyy1px,,90,,,,/var,85,,,
cieyy1px,,99,,,,/var/log/audit,95,,,
cieyy1px,99,99,,,,/var/projects/ice,90,,,
cieyy1px,,99,,,,,95,,,
cieyy1px,,,,,,,,,,
cieyy1px,,,,,,,,,,
cieyy1px,,,,,,,,,,
cieyy1px,,,,,,,,,,
cieyy1px,,1:,,,,,1:,,,
cieyy1px,,1:,,,,,1:,,,
cieyy1px,,1:,,,,,1:,,,
cieyy1px,,1:,,,,,1:,,,
cieyy1px,,1:,,,,,1:,,,
cieyy1px,,150,,,,,80,,,
cieyy1px,,,,,,,,,,
cieyy1py,,,99,30,30,,,99,30,30
cieyy1py,,150,,,,,95,,,
